Subject,Topic,Direction,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Explanation
Technical Drawing,Blocks, ,When using versions of AutoCAD prior to Release 2006 it may be necessary to ________ a block in order to edit it.,copy,explode,offset,none of the above, ,B," No answer description available for this question. <a href=""discussion-662"">Let us discuss</a>. "
Technical Drawing,Blocks, ,Some common blocks used by architectural drafters include ________.,door swings,ceiling fans,appliances,All of the above, ,D," No answer description available for this question. <a href=""discussion-655"">Let us discuss</a>. "
Technical Drawing,Blocks, ,Inserting blocks into a drawing file usually requires exacting placement. The drafter should insure that ________ is turned on.,O Snaps,Ortho,Grid,Dynamic Input, ,A," No answer description available for this question. <a href=""discussion-661"">Let us discuss</a>. "
Technical Drawing,Architectural Working Drawings, ,The building construction industry relies on sets of ________ drawings to construct homes and commercial buildings.,mechanical,isometric,architectural working,all of the above, ,C," No answer description available for this question. <a href=""discussion-694"">Let us discuss</a>. "
Technical Drawing,Architectural Working Drawings, ,"The text height for room names should be set to ________for a drawing that will be plotted to a scale of Â¼"" = 1'-0"".","4""","5""","6""","8""", ,C," No answer description available for this question. <a href=""discussion-701"">Let us discuss</a>. "
Technical Drawing,Architectural Working Drawings, ,The architectural drafter usually begins a set of working drawings by creating the ________ plan first.,foundation,floor plan,elevations,building section, ,B," No answer description available for this question. <a href=""discussion-695"">Let us discuss</a>. "
Technical Drawing,Architectural Working Drawings, ,Once the architect has finalized the house plans with the client any changes to the design requested by the client will require a ________.,change order,modification slip,whole new set of drawings,none of the above, ,A," No answer description available for this question. <a href=""discussion-699"">Let us discuss</a>. "
Technical Drawing,Architectural Working Drawings, ,The foundation contractor will work with the following architectural plans.,foundation,site plan,floor plan,all of the above, ,D," No answer description available for this question. <a href=""discussion-696"">Let us discuss</a>. "
Technical Drawing,Architectural Working Drawings, ,To insure that everyone understands what the electrical symbols represent it is customary to include a ____ on the electrical sheet.,list,part number,electrical legend,electrical layer, ,C," No answer description available for this question. <a href=""discussion-698"">Let us discuss</a>. "
Technical Drawing,Architectural Working Drawings, ,"On a floor plan the dashed line that appears approximately 24"" outside the exterior wall represents the ________.",sidewalk,roof overhang,plumbing drain lines,none of the above, ,B," No answer description available for this question. <a href=""discussion-702"">Let us discuss</a>. "
Technical Drawing,Architectural Working Drawings, ,The site plan illustrates ________.,the floor plan,where the house sits on the property,the roof plan,where the garage and driveway are located, ,B," No answer description available for this question. <a href=""discussion-703"">Let us discuss</a>. "
Technical Drawing,Architectural Working Drawings, ,"Generally, the units used on an architectural drawing are set to ________.",Architectural,engineering,metric,civil, ,A," No answer description available for this question. <a href=""discussion-700"">Let us discuss</a>. "
Technical Drawing,Architectural Working Drawings, ,Elevation drawings will include information about ________.,roof pitch,siding,window style,all of the above, ,D," No answer description available for this question. <a href=""discussion-697"">Let us discuss</a>. "
