Topic,Question,Option 1,Option 2,Option 3,Option 4,Answer
G.K,"
17.  निम्नलिखित में से किस प्रदेश में विधानपरिषद नही है?
",    उत्तरप्रदेश,    महाराष्ट्र,    बिहार ,    उत्तराखंड ,..
G.K,"
18.  निम्नलिखित में से किस राज्य में द्विसदनात्मक विधायिका नही है?
",    उत्तरप्रदेश,    मध्यप्रदेश ,    बिहार ,    कर्नाटक ,..
G.K,"
19.  राज्य मंत्रिपरिषद सामूहिक रूप से किसके प्रति उत्तरदायी होता है?
",    विधानसभा ,    विधानपरिषद ,    राज्यपाल ,    राष्ट्रपति,..
G.K,"
20.  योजना आयोग की स्थापना कब और किस वर्ष की गयी थी?
",    10 मार्च 1950,    15 मार्च 1951,    16 मार्च 1951 ,    20 मार्च  1950 ,..
G.K,"
1.  नंदवंश का संस्थापक कौन था ?
",    महापधानंद,    कालाशोक ,    घननंद,    नागार्जुन ,Coming Soo
G.K,"
2.  प्राचीन भारत में पहला विदेशी आक्रमण किनके द्वारा किया गया था ?
",    ईरानियो द्वारा ,    यूनानियो  द्वारा ,    शकों द्वारा ,    कुषाणों द्वारा ,Coming Soo
G.K,"
3.  भारत में सिक्को/मुद्रा का प्रचलन कब हुआ ?
",    अशोक के शासन काल में ,    कनिष्क के शासनकाल में ,    600  ई०  पू०,    300  ई० ,Coming Soo
G.K,"
4.  मगध के किस प्रारंभिक शासक ने राज्यारोहण के लिए अपने पिता की हत्या की और इसी कारणवश अपने पुत्र द्वारा मारा गया ?
",    बिम्बिसार ,    अजातशत्रु ,    उदयिन,    नागदशक,Coming Soo
G.K,"
5.  दिल्ली सल्तनत की दरबारी भाषा थी |
",    उर्दू ,    फारसी ,    हिंदी ,    अरबी ,Coming Soo
G.K,"
6.  रजिया सुल्तान किसकी बेटी थी ?
",    इल्तुतमिश ,    कुतुबुद्दीन ऐबक ,    नासिरुग्गिन ,    बलबन ,Coming Soo
G.K,"
7.  तराइन के द्वितीय युद्ध में किसने किसको पराजित किया ?
",    पृथ्वीराज ने मौहम्मद गौरी को ,    महमूद गजनवी ने पृथवीराज को ,    पृथ्वीराज ने महमूद गजनवी को ,    मौहम्मद गौरी ने पृथ्वीराज को ,Coming Soo
G.K,"
8.  लोदी वंश का अन्तिम शासक कौन था ?
",    बहलोल लोदी ,    इब्राहिम लोदी ,    दौलत खां लोदी,    सिकन्दर लोदी ,Coming Soo
G.K,"
9.  महमूद गजनवी किस वंश का शासक था ?
",    यामिनी ,    गुलाम ,    खल्जी ,    तुगलक ,Coming Soo
G.K,"
10.  भारत में मुस्लिम राज का संस्थापक माना जाता है -
",    मौहम्मद गौरी ,    इल्तुतमिश ,    अकबर ,    बाबर ,Coming Soo
G.K,"
11.  महमूद गजनवी ने भारत पर कितने बार आक्रमण किया ?
",    12 बार ,    15 बार ,    17 बार ,    18 बार ,Coming Soo
G.K,"
12.  लोदी वंश का संस्थापक कौन था ?
",    इब्राहिम लोदी ,    सिकन्दर लोदी ,    बहलोल लोदी ,    इनमें से कोई नहीं ,Coming Soo
G.K,"
13.  ""तुगलक नामा"" के रचनाकार का नाम है -
",    बारनी ,    गुलबदन बेगम ,    अमीर खुसरो ,    इसामी ,Coming Soo
G.K,"
14.  मोहम्मद गौरी किस वंश का था ?
",    यामिनी ,    शंसबनी ,    गुलाम ,    खल्जी ,Coming Soo
G.K,"
15.  आगरा नगर की स्थापना किसके द्वारा की गई थी?
",    फिरोज तुगलक ,    मुहम्मद बिन तुगलक,    अलाउददीन खिल्जी ,    सिकन्दर लोदी ,..
G.K,"
16.  भारत में ग्रांड ट्रंक रोड बनवाई थी-
",    अशोक ने ,    शेरशाह सूरी ने ,    अकबर ने   ,    हुमायूँ ने ,..
G.K,"
17.  दीन-ए-इलाही नामक नया धर्म किसके द्वारा शुरु  किया गया था?
",    हुमायूँ ,    जहाँगीर ,    अकबर,    शाहजहाँ ,..
G.K,"
18.  ‘हुमायूँनामा’ किसने लिखा था?
",    गुलबदन बेगम ,    मुमताज महल ,    जहाँआरा बेगम ,    रोशनआरा बेगम,..
G.K,"
19.  हुमायूँ का मकबरा कहाँ है?
",    दिल्ली में ,"    आगरा में	","    फतेहपुर सिकरी में	",    काबुल में ,..
G.K,"
20.  प्रसिद्ध संगीतज्ञ तानसेन का मकबरा स्थित हैं?
",    आगरा में,    ग्वालियर में ,    झाँसी में ,    जयपुर में ,..
G.K,"
1.  अमीर खुसरो किस शासक के दरबारी कवि थे ?
",    चन्द्रगुप्त द्वितीय ,    अलाउद्दीन खिलजी ,    कुतुबुद्दीन ऐबक ,    हर्षवर्धन ,Coming Soo
G.K,"
2.  महावीर स्वामी का जन्म कहाँ हुआ था ?
",    कुण्डग्राम ,    पाटलिपुत्र ,    मगध ,    वैशाली ,Coming Soo
G.K,"
3.  ""कुचिपुड़ी"" किस राज्य की नृत्य शैली है ?
",    केरल ,    आंध्रप्रदेश ,    तमिलनाडु ,    कर्नाटक ,Coming Soo
G.K,"
4.  निम्नलिखित में से नृत्य का शास्त्रीय रूप कौन सा है ?
",    भांगड़ा ,    गिददा ,    छऊ ,    मणिपुरी ,Coming Soo
G.K,"
5.  कथकली शास्त्रीय नृत्य किस राज्य में शुरू हुआ था ?
",    केरल ,    कर्नाटक ,    राजस्थान ,    तमिलनाडु ,Coming Soo
G.K,"
6.  उत्तर प्रदेश का एक प्रसिद्ध लोक गीत है -
",    मांग ,    कजरी ,    बोल ,    बोली ,Coming Soo
G.K,"
7.  भांगड़ा कहाँ का नृत्य है 
",    हरियाणा ,    राजस्थान ,    दिल्ली ,    पंजाब ,Coming Soo
G.K,"
8.  डांडिया कहाँ का पप्रसिद्ध नृत्य है ?
",    गुजरात ,    असम ,    झारखण्ड ,    महाराष्ट्र ,Coming Soo
G.K,"
9.  सबसे प्राचीन वाधयंत्र है -
",    सितार,    तबला ,    सरोद ,    वीणा ,Coming Soo
G.K,"
10.  उस्ताद बिस्मिल्ला खान किस वाधयंत्र को बजाते थे ?
",    बांसुरी ,    तबला ,    शहनाई ,    सरोद ,Coming Soo
G.K,"
11.  निम्नलिखित में से कौन सुप्रसिद्ध तबला वादक है ?
",    जाकिर हुसैन,    विक्कू विनायक राम ,    प. बी० जी० योग ,    पालघात मणि अय्यर ,Coming Soo
G.K,"
12.  अजन्ता किसलिए प्रसिद्ध है ?
",    कलात्मक चित्रकारी ,    गुफा ,    नक्काशी मेहराब ,    इनमें से कोई नहीं ,Coming Soo
G.K,"
13.  भारत में कितने भाषाएँ बोली जाती हैं ?
",    15,    20,    22,    28,Coming Soo
G.K,"
14.  भारत की प्राचीन भाषा है -
",    हिंदी ,    प्राकृत ,    संस्कृत ,    पाली ,Coming Soo
G.K,"
15.  भारत की सर्वाधिक प्राचीन लिपि है -
",    सिन्धी ,    प्राकृत ,    खरोष्ठी ,    ब्राह्मी ,Coming Soo
G.K,"
16.  महात्मा बुद्ध ने अपना प्रथम धर्मचक्र – प्रवर्तन किस स्थान पर दिया था?
",    लुम्बिनी ,    सारनाथ  ,    पाटलिपुत्र ,    वैशाली ,..
G.K,"
17.  राजा राममोहन राय संस्थापक थे:- 
",    प्रार्थना समाज के  ,    ब्रह्रा समाज के  ,    राम कृष्ण मिशन के ,    आर्य समाज के ,..
G.K,"
18.  महात्मा बुद्ध का महापरिनिर्वाण कहाँ हुआ था?
",    लुम्बिनी  ,    बोधगया ,    कुशीनगर,    कपिलवस्तु ,..
G.K,"
19.  शास्त्रीय नृत्य ऑडिसी किसी प्रदेश की उपज है?
",    ओडिशा ,    आन्ध्र प्रदेश  ,    राजस्थान  ,    गुजरात ,..
G.K,"
20.  गिदधा जो की एक नृत्य रूप है, किस राज्य से सम्बन्ध है?
",    पंजाब ,    हिमाचल प्रदेश  ,    हरियाणा  ,    राजस्थान ,..
G.K,"
1.  लोक नृत्य करने वाले को कहते है-
",    लौकिक     ,    लोगों के साथ नाचना  ,    लोक नर्तक ,    लोक नायक ,..
G.K,"
2.  प्रसिद्ध चरकुला नृत्य सम्बंधित है? 
",    अवध से  ,    बुंदेलखंड से,    ब्रजभूमि से ,    रुहेलखंड से,..
G.K,"
3.  पण्डित भीमसेन जोशी के क्रियाकलाप का क्षेत्र क्या रहा है?
",    साहित्य  ,    शास्त्रीय संगीत  ,    शिक्षा ,    पत्रकारिता ,..
G.K,"
4.  शिवकुमार शर्मा किस वादन के लिए प्रसिद्ध है?
",    सरोद ,    बाँसुरी ,    संतूर ,    सितार ,..
G.K,"
5.  गुदई महाराज का सम्बन्ध किस वाध यंत्र से है?
",    वायलिन ,    संतूर ,    तबला  ,    सितार ,..
G.K,"
6.  मुंह से बजाने वाला वाध यंत्र है- 
",    इकतारा ,    अलेगोजा ,    नौबत  ,    ताशा ,..
G.K,"
7.  निम्नलिखित गुफा चित्रों में से सबसे पुराने चित्र कौन से है?
",    मीमबेटका ,    एलोरा ,    अजंता ,    चिन्तनवासल ,..
G.K,"
8.  अमृता शेरगिल किस रूप में प्रसिद्ध हुई?
",    मूर्तिकार ,    चित्रकार ,    संगीतकार ,    नृत्यांगना   ,..
G.K,"
9.  चित्रकला की मुग़ल शैली का प्रारंभ किया था?
",    अकबर ने ,    हुमायुँ ने,    जहाँगीर ने,    शाहजहाँ ने,..
G.K,"
10.  गुरुगोविन्द सिंह द्वारा खालसा पंथ की स्थापना कब की गई थी?
",    1599 ई∘,    1699 ई∘  ,    1707 ई∘,    1657 ई∘ ,..
G.K,"
11.  इस्लाम धर्म के प्रवर्तक मुहम्मद साहब का जन्म कहा हुआ था?
",    मक्का  ,    मदीना ,    जेरुसलम ,    बगदाद ,..
G.K,"
12.  पुराणों की कुल संख्या है-
",    12 ,    16,    18,    20,..
G.K,"
13.  कपिलमुनि द्वारा प्रतिपादित दार्शनिक प्रणाली है -
",    पूर्व मीमांसा ,    उत्तर मीमांसा  ,    सांख्य दर्शन   ,    न्याय दर्शन ,..
G.K,"
14.  न्याय दर्शन का लेखक था -
",    गौतम ,    कणाद,    कपिल ,    बादरायण,..
G.K,"
15.  राजस्थान का पुष्कर मेला किस माह में लगता है?
",    अक्टूबर  ,    नवम्बर  ,    फरवरी  ,    मार्च  ,..
G.K,"
16.  पोंगल किस राज्य का चर्चित पर्व है?
",    तमिलनाडु ,    केरल ,    कर्नाटक ,    आंध्रप्रदेश ,..
G.K,"
17.  एलोरा के पहाड़ी मंदिर किसने बनवाए?
",    चालुक्यो ने,    पल्लवों ने,    राष्ट्रकूटों ने ,    चोलों ने,..
G.K,"
18.  भगवान शिव की प्रतिष्ठा में कितने ज्योतिलिर्ग स्थापित है?
",    8,    12,    24,    18,..
G.K,"
19.  शेरशाह का मकबरा कहाँ स्थित है?
",    दिल्ली,    सासाराम ,    लाहौर ,    अजमेर ,..
G.K,"
20.  कार्बेट नेशनल पार्क किस जिले में स्थित है?
",    नैनीताल ,    चमोली ,    अल्मोड़ा ,    हरिद्वार ,..
G.K,"
1.  भूगोल का जनक किसे कहा जाता है ?
",    हेरोडोटस ,    एनेक्जीमेंडर,    इरैटोस्थनीज,    हिकैटियस ,Coming Soo
G.K,"
2.  सौर प्रणाली की खोज किसने की थी ?
",    गैलीलियो ,    जे० एल० बेयर्ड ,    कोपरनिकस ,    केप्लर ,Coming Soo
G.K,"
3.  सौर मण्डल में कुल कितने गृह हैं ?
",    आठ ,    नौ ,    दस ,    ग्यारह ,Coming Soo
G.K,"
4.  अन्तरिक्ष में कुल कितने तारामण्डल हैं ?
",    87,    88,    89,    90,Coming Soo
G.K,"
5.  सूर्य के रासायनिक मिश्रण में हाईड्रोजन का प्रतिशत कितना है ?
",    71%,    61%,    75%,    54%,Coming Soo
G.K,"
6.  वह काल्पनिक रेखा जो पृथ्वी को दो भागों में बाँटती है, क्या कहलाती है ?
",    भूमध्य रेखा ,    कर्क रेखा ,    मकर रेखा ,    इनमे से कोई नहीं ,Coming Soo
G.K,"
7.  ग्रीनविच किस देश में है ?
",    यू० एस० ए० ,    यू० के० ,    हालैंड ,    भारत ,Coming Soo
G.K,"
8.  भूकम्प मापा जाता है ?
",    बोफोर्ट पैमाने में ,    डेसीबल में ,    न्यूटन में ,    रिक्टर में ,Coming Soo
G.K,"
9.  भूकम्प के अध्ययन को कहते हैं ?
",    सेरीकल्चर ,    सिस्मोलॉजी ,    फिलोलॉजी ,    एन्टी आलॉजी ,Coming Soo
G.K,"
10.  हिमालय पर्वत शृंखला किसका उदाहरण है ?
",    वलित पर्वत ,    ज्वालामुखी पर्वत ,    अवशिष्ट पर्वत ,    ब्लॉक पर्वत ,Coming Soo
G.K,"
11.  रेगिस्तानों में बादल बरसते नहीं हैं ? 
",    उच्च वायु वेग के कारण ,    निम्न ताप के कारण ,    अल्प वायु वेग के कारण ,    निम्न आर्द्रता के कारण ,Coming Soo
G.K,"
12.  विश्व की सबसे बड़ी मीठे जल की झील है -
",    विक्टोरिया ,    सुपीरियर ,    बैकाल ,    मिशिगन ,Coming Soo
G.K,"
13.  विश्व का सबसे ऊँचा जलप्रपात है -
",    बोयोमा ,    स्टेनली ,    एंजिल ,    नियाग्रा ,Coming Soo
G.K,"
14.  संसार का सबसे बड़ा महाद्वीप है -
",    उत्तर अमेरिका ,    दक्षिण अमेरिका ,    एशिया ,    अफ्रीका ,Coming Soo
G.K,"
15.  विश्व का सबसे बड़ा द्वीप है -
",    आइसलैंड ,    न्यूगिनी ,    मेडागास्कर ,    ग्रीनलैंड ,Coming Soo
G.K,"
16.  ग्रहों की गति का नियम किसने प्रतिपादित किया?
",    न्यूटन  ,    केप्लर ,    कॉपरनिक्स,    गैलीलियों,..
G.K,"
17.  निम्नलिखित में से कौन सौरमण्डल का भाग नही है?
",    क्षुद्रग्रह,    धूमकेतु ,    ग्रह ,    निहारिका ,..
G.K,"
18.  सौर पृष्ठ पर लगभग कितना तापमान होता है?
",    800०c,    600०c,    6000०c,    1000०c,..
G.K,"
19.  सूर्य का प्रकाश पृथ्वी तक कितने समय में पहुँचता है?
",    8.3 मिनट ,    7.3 मिनट ,    9.4 मिनट ,    10 मिनट,..
G.K,"
20.  कौन सा ग्रह सूर्य के सबसे ज्यादा नजदीक है?
",    पृथ्वी ,    बुध,    शुक्र ,    बृहस्पति,..
G.K,"
1.  भारत में किस तरह की व्यवस्था है ?
",    समाजवादी,    मिश्रित ,    गाँधीवादी ,    स्वतन्त्र ,Coming Soo
G.K,"
2.  वर्ल्ड डेवलपमेंट रिपोर्ट किसका वार्षिक प्रकाशन है ?
",    I.B.R.D.,    I.M.F.,    U.N.D.P.,    W.T.O.,Coming Soo
G.K,"
3.  मानव विकास सूचकांक (HDI) किस अर्थशास्त्री की देन है ?
",    एडम स्मिथ ,    अमर्त्य सेन ,    कीन्स ,    महबूब उल हक ,Coming Soo
G.K,"
4.  बंद अर्थव्यवस्था से आप क्या समझते हो ?
",    निर्यात बंद ,    आयात -निर्यात बंद ,    आयात बंद ,    नियँत्रित पूँजी ,Coming Soo
G.K,"
5.  किसी देश की आर्थिक विकास निर्भर किस करता है 
",    प्राकृतिक संसाधन ,    पूँजी निर्माण ,    बाजार का आकार ,    उपर्युक्त सभी ,Coming Soo
G.K,"
6.  मानव विकास सूचकांक किसने बनाया था ?
",    UNCTAD,    ASEAN,    IBRD,    UNDP,Coming Soo
G.K,"
7.  भारत की राष्ट्रीय आय का प्रमुख स्रोत है -
",    कृषि क्षेत्र ,    सेवा क्षेत्र ,    उद्योग क्षेत्र ,    व्यापार क्षेत्र ,Coming Soo
G.K,"
8.  राष्ट्रीय आय है -
",    बाजार मूल्य पर निबल राष्ट्रीय उत्पाद ,    उत्पादन लागत पर निबल राष्ट्रीय उत्पाद ,    बाजार मूल्य पर देशीय उत्पाद ,    उत्पादन लागत पर निबल देशीय उत्पाद ,Coming Soo
G.K,"
9.  GNP से NNP निकालने के लिए निम्न में से किसको घटाया जाता है ?
",    ह्रास ,    ब्याज ,    कर ,    इमदाद ,Coming Soo
G.K,"
10.  किसी राष्ट्र की राष्ट्रीय आय होती है -
",    सरकार का वार्षिक राजस्व ,    उत्पादन कार्यो का योगफल ,    सार्वजनिक क्षेत्र का उधमो का अधिशेष ,    निर्यात में से आयात घटाकर,Coming Soo
G.K,"
11.  भारत में से मुद्रा स्फीति किस कारण से होती है -
",    उत्पादन में कमी ,    मुद्रा पूर्ति में वृद्धि तथा उत्पादन में कमी ,    मुद्रा पूर्ति में वृद्धि,    उत्पादन में वृद्धि,Coming Soo
G.K,"
12.  भारत में मुद्रा स्फीति मापी जाती है -
",    थोक मूल्य सूचकांक द्वारा ,    शहरी गैर कामगरो के लिए उपभोक्ता मूल्य सूचकांक द्वारा ,    कृषि श्रमिकों के लिए उपभोक्ता मूल्य सूचकांक द्वारा ,    राष्ट्रीय आय अवस्फीति द्वारा ,Coming Soo
G.K,"
13.  निम्नलिखित में से कौनसा बैंक भारत का केन्द्रीय बैंक है ?
",    स्टेट बैंक ऑफ इण्डिया ,    बैंक ऑफ इण्डिया ,    यूनियन बैंक ऑफ इण्डिया ,    रिजर्व बैंक ऑफ इण्डिया ,Coming Soo
G.K,"
14.  आर० बी० आइ० (RBI) का मुख्यालय कहाँ स्थित है ?
",    दिल्ली ,    कोलकाता ,    मुम्बई ,    चेन्नई ,Coming Soo
G.K,"
15.  भारतीय स्टेट बैंक (SBI) का मुख्यालय कहाँ स्थित है ?
",    मुम्बई ,    दिल्ली ,    कोलकाता ,    चेन्नई ,Coming Soo
G.K,"
16.  भारत की कुल श्रमशक्ति का लगभग कितना भाग कृषि में लगा हुआ हैं?
",    48%,    50%,    54%,    64%,..
G.K,"
17.  अल्पविकसित देशों में गरीबी का मुख्य करण है?
",    स्वैच्छिक निष्क्रियता ,    आय में असमानता ,    सांस्कृतिक गतिविधियों का अभाव ,    लोगों में बुद्धि का अभाव,..
G.K,"
18.  केन्द्रीय सांख्यिकीय संगठन (C. S. O.) की स्थपाना कब हुई?
",    1950 ई०,    1951 ई०,    1952 ई०,    1956 ई०,..
G.K,"
19.  भारत में राष्ट्रीय आय की गणना निम्नलिखित में से किसके द्वारा की जाती हैं?
",    योजना आयोग ,    वित्त मंत्रालय ,    केन्द्रीय सांख्यिकीय संगठन,    रिजर्व बैंक आँफ इण्डिया ,..
G.K,"
20.  हवाला क्या हैं?
",    किसी विषय की पूर्ण जानकारी ,    विदेशी मुद्रा विनिमय का अवैध कारोबार ,    शेयर बाजार में प्रतिभूतियों का अवैध लेंन देन,    कर अपवंचन ,..
G.K,"
1.  अर्थव्यवस्था की वैसी स्थिति जिसमें मुद्रा स्फीति के साथ मन्दी की स्थिति होती है, कहलाती है-
",    इन्फ्लेशन ,    स्टेगफ्लेशन ,    एमोटाइजेशन,    रिफ्लेशन,..
G.K,"
2.  मुद्रा स्फीति से बाजार की वस्तुएँ –
",    सस्ती हो जाती हैं,    महँगी हो जाती हैं,    बिल्कुल नहीं मिलती हैं,    प्रचुरता से मिलती हैं,..
G.K,"
3.  मुद्रा स्फीति से लाभान्वित होता है-
",    बचत कर्ता ,    ऋणदाता ,    ऋणी ,    इनमें से सभी ,..
G.K,"
4.  मुद्रा स्फीति को इनमें से किसके द्वारा रोका जा सकता है?
","    बचत का बजट 	",    प्रत्यक्ष कराधान में वृद्धि ,    सरकारी व्यय में कटौती ,    इनमें से कोई नहीं ,..
G.K,"
5.  भारत का सबसे बड़ा बैंक है –
",    भारतीय रिजर्व बैंक ,    भारतीय स्टेट बैंक ,"    सेन्ट्रल बैंक ऑफ इण्डिया 	",    बैंक ऑफ इण्डिया ,..
G.K,"
6.  भारत में किसे “बेंको का बैंक” कहा जाता है?  
",    भारतीय रिजर्व बैंक ,    भारतीय स्टेट बैंक    ,    बैंक ऑफ इण्डिया,    सेन्ट्रल बैंक ऑफ इण्डिया,..
G.K,"
7.  भारतीय रिजर्व बैंक (R B I) की लेखा वर्ष की अवधि क्या है?
","    अप्रैल से मार्च	",    जुलाई से जून ,    जनवरी से दिसम्बर ,    अगस्त से जुलाई ,..
G.K,"
8.  बैंक नोट प्रेस कहाँ स्थित है?
",    नासिक  ,    देवास,    नोएडा ,    मुम्बई ,..
G.K,"
9.  भारत का सबसे बड़ा व्यवसायिक बैंक है 
",    यूनाईटेड कामर्शियल बैंक,    पंजाब नेशनल बैंक,    भारतीय स्टेट बैंक    ,    बैंक ऑफ बड़ौदा  ,..
G.K,"
10.  भारतीय लघु उद्दोग विकास बैंक (S I D B I) का मुख्यालय कहाँ हैं?
",    मुम्बई ,    बंगलोर ,    लखनऊ ,    नई दिल्ली,..
G.K,"
11.  देश में कुल कितने क्षेत्रीय ग्रामीण बैंक कार्यरत हैं?
",    64,    196,    216,    324,..
G.K,"
12.  भारत की सबसे बड़ी म्यूचुअल फण्ड संख्या है-
","    G. I. C	",    L. I. C,    S. B. I,    U. T. I  ,..
G.K,"
13.  भारत में स्टॉक एक्सचेन्जों का नियमन करने वाली संख्या है -
",    R. B. I,    N. S. E,     B. D. T,    S. E. B. I,..
G.K,"
14.  भारत में कागजी नोट मुद्रा को जारी करने का पूर्ण अधिकार किसके पास हैं?
",    भारत सरकार ,    वित्त आयोग ,    रिजर्व बैंक,    सेन्ट्रल बैंक ऑफ इण्डिया,..
G.K,"
15.  भारतीय रिजर्व बैंक का राष्ट्रीयकरण किया गया था-
",    1947 में,    1948 में,    1949 में,    1951 में,..
G.K,"
16.  निम्नलिखित भारतीय बैंको में से कौन सा एक राष्ट्रीयकृत बैंक नही हैं?
",    कॉर्पोरेशन बैंक,    देना बैंक,    फेडरल बैंक,    विजया बैंक,..
G.K,"
17.  भारतीय जीवन बीमा निगम (L I C) की स्थापना कब हुई?
",    1956 में ,    1944 में ,    1950 में ,    1947 में ,..
G.K,"
18.  भारत में बीमा क्षेत्र का नियमन कौन सी संस्था करती हैं?
",    L I C,    D F H I ,    S E B I ,    I R D A ,..
G.K,"
19.  किस वर्ष नाबार्ड (NABARD) की स्थापना हुई?
",    1992 में,    1982 में,    1962 में,    1952 में,..
G.K,"
20.  निम्नलिखित में से कौन सा किसी बैंकिंग संगठन का नाम नही हैं -
",    I C I C I,    I D B I ,    H D F C ,    S E B I ,..
blood relation,"
1.  एक व्यक्ति की ओर इशारा करते हुए, मोहन एक औरत से कहता है कि ""उसकी माँ तुम्हारे पिता की एकमात्र पुत्री है"". वह औरत उस व्यक्ति से किस प्रकार सम्बंधित है?
",    पुत्री ,    बहन ,    माता ,    पत्नि ,C
blood relation,"
2.  एक औरत की और इशारा करते हुए राम कहता है कि, ""वह मेरी माता के पति की माता की पुत्री है""|उस औरत का राम से क्या सम्बन्ध है ? 
",    बुआ ,    पौत्री ,    बहन ,    पुत्री ,A
blood relation,"
3.  एक तस्वीर में एक व्यक्ति की और इशारा करते हुए, अनु कहती है कि ""वह मेरी बहन के भाई के पिता का एकमात्र पुत्र है"", वह व्यक्ति अनु से किस प्रकार सम्बंधित है ?
",    पिता ,    चाचा ,    चचेरा भाई ,    इनमे से कोई नहीं ,D
blood relation,"
4.  एक लड़के की तरफ इशारा करते हुए, रीना कहती है कि ""वह मेरे दादा के एकमात्र पुत्र का पुत्र है""|वह लड़का रीना से किस प्रकार सम्बंधित है?
",    चचेरा भाई ,    चाचा ,    भाई ,    इनमे से कोई नहीं ,C
blood relation,"
5.  A और B भाई हैं, C और D बहनें हैं, A का पुत्र D का भाई है| B का C से कया सम्बन्ध है ?
",    चाचा ,    भाई ,    दादा ,    पिता ,A
blood relation,"
6.  एक औरत की ओर इशारा करते हुए राम कहता है कि “उसके एकमात्र भाई का बेटा मेरी पत्नी का भाई है” | उस औरत का राम के साथ क्या सम्बन्ध है?
",    मौसी,    दादी ,    सास ,    ससुर की बहन,D
blood relation,"
7.  एक आदमी ने औरत से कहा, “तुम्हारी माँ के पति की बहन मेरी बुआ है” उस औरत का आदमी के साथ क्या सम्बन्ध है?
",    पुत्री,    माता ,    बहन ,    बुआ,C
blood relation,"
8.  	एक आदमी कहता है, “यह लड़की मेरी माँ के पौत्र की पत्नी है” | उस आदमी का उस औरत के साथ क्या सम्बन्ध है?
",    पिता,    दादा ,    पति ,    ससुर,D
blood relation,"
9.  	एक आदमी का परिचय देते हुए एक औरत कहती है, “वह मेरी माँ की माँ का एकमात्र पुत्र है” | उस औरत का उस व्यक्ति से क्या सम्बन्ध है?
",    माँ,    बुआ ,    बहन ,    भानजी,D
blood relation,"
10.  अपने पति से एक व्यक्ति के बारे में बात करते हुए एक औरत कहती है, “उसके भाई का पिता मेरे दादा का एकमात्र पुत्र है” | उस औरत का उस व्यक्ति से क्या सम्बन्ध है?
",    माँ,    बुआ ,    बहन ,    पुत्री,C
blood relation,"
11.    एक
लड़की एक लड़के की ओर इशारा करते हुए कहती है कि वह उसके चाचा के पिता की बेटी का
पुत्र है | उस लड़के का उस लड़की से क्या सम्बन्ध है?
",    फुफेरा भाई,    पुत्र ,    चाचा ,    भतीजा,A
blood relation,"
12.  यदि कमल कहता है कि “ रवि की माँ मेरी माँ की एकमात्र पुत्री है “ | तो कमल का रवि से क्या सम्बन्ध है?
",    दादा  ,    मामा ,    पिता ,    भाई ,B
blood relation,"
13.  एक फोटो में एक व्यक्ति की
ओर इशारा करते हुए एक स्त्री कहती है कि “ इसके भाई का पिता मेरे दादा का एकलौता पुत्र है | वह स्त्री उस वव्यक्ति से किस प्रकार सम्बन्धित है?
",    माता  ,    चाची ,    बहन  ,    पुत्री ,C
blood relation,"
14.  अनिल रोहित के बारे में
बताते हुए कहता है कि “ वह उसके पिता की पत्नी के इकलोते भाई का पुत्र है ” |
रोहित का अनिल से क्या सम्बन्ध है?
",    ममेरा भाई ,    पुत्र ,    चाचा ,    भाई,A
blood relation,"
15.  एक फ़ोटो में एक लड़की कि ओर
इशारा करते हुए रोहित कहता है कि “ वह मेरे दादा के इकलोते पुत्र की पुत्री है “ |
रोहित का उस लड़की से क्या सम्बन्ध है?
",    पिता ,    भाई  ,    कजिन  ,    चाचा ,B
blood relation,"
16.  एक व्यकित एक फोटो की ओर
इशारा करते हुए कहता है कि “ ये फोटो में जो महिला है | वह मेरे भाँजे की नानी है | उस महिला का उस व्यक्ति की इकलौती बहन से क्या सम्बन्ध है?
",    कजिन  ,    बहन,    माता,    सास,C
blood relation,"
17.  एक फोटो की ओर इशारा करते
हुए एक महिला कहती है कि “ इस व्यक्ति के पुत्र की बहन मेरी सास है | “ उस महिला
के पति का उस व्यक्ति से क्या सम्बन्ध है?
",    नातिन ,    पुत्र ,    दामाद,    भतीजा,A
blood relation,"
18.  एक फोटो की ओर इशारा करते
हुए एक महिला प्रमोद से कहती है कि “मैं इस महिला की इकलौती पुत्री हूँ तथा उसका
पुत्र तुम्हारा मामा है” | उस महिला का प्रमोद के पिता से क्या सम्बन्ध है?
",    भाभी ,    पत्नी   ,    चाची  ,    माता ,B
blood relation,"
19.  अमित कहता है कि “यह लड़की
मेरी माँ के पौत्र की पत्नी है” | अमित का उस लड़की से क्या सम्बन्ध है?
",    भाई  ,    दादा  ,    पति  ,    ससुर,D
blood relation,"
20.  राम की ओर इशारा करते हुए
श्याम कहता है कि “मै इसके पिता के पुत्रीं में से किसी एक पुत्र का इकलौता पुत्र
हूँ |
",    भतीजा,    चाचा,    पिता या चाचा,    पिता,C
,"
.  
",    ,    ,    ,    ,A
coding and decoding,"
1.  	एक कूट भाषा में ‘LOUD’ को ‘JQSF’ लिखा जाता है तो निम्नलिखित में से किस शब्द को उसी कूट भाषा में ‘PKQG’ लिखा जायेगा?
",    RISE,    ROPE,    ROAD,    RICE,B
coding and decoding,"
2.  	एक निश्चित कूट भाषा में ‘SPIDER’ को ‘PSDIRE’ लिखा जाता है उसी कूट भाषा में ‘COMMON’ को कैसे लिखा जायेगा?
",    OCOMMO,    OCMMNO,    OCMOMN,    OCMMON,B
